AthleteID,Name,Gender,DateOfBirth,CountryID,SportID
1,Jerry Mitchell,F,1998-08-22,3,41
2,Candice Johnson,F,1989-03-24,98,14
3,Kyle Shelton,M,1994-06-30,163,12
4,Melissa Davis,F,1985-03-21,58,45
5,Shawn Baxter,F,2003-01-17,44,19
6,Shawn Ortiz,M,1987-02-22,75,2
7,Dennis Thompson,M,2005-01-27,158,43
8,Aaron White,M,1995-03-31,164,32
9,Cynthia Thomas,F,1989-04-26,135,35
10,David Macdonald,M,2009-05-03,162,6
11,Jeanette Murray,M,2002-07-18,49,20
12,Elizabeth Moore,F,1993-11-17,71,23
13,Brendan Valdez,F,1988-01-14,154,38
14,Catherine Webb,F,1987-11-21,23,44
15,Jasmine Watkins,M,1996-12-02,33,25
16,Lisa Anthony,M,1992-04-14,76,34
17,Mr. Shane Berg,F,1984-11-13,184,47
18,Brenda Garcia,F,1997-02-16,18,20
19,Anthony Baxter,F,2006-06-07,93,3
20,Mary Jensen,M,1990-06-08,32,10
21,Ashley Jackson,F,1999-02-16,62,28
22,Dennis Gentry,F,2005-02-27,121,5
23,Max Davis,F,1999-02-26,155,48
24,Karen Bennett,F,2009-01-02,67,10
25,Jared Pineda,F,2006-01-26,21,18
26,Edward Alvarez,M,2003-03-31,15,15
27,Christopher Johnson,M,1999-09-11,15,15
28,Mary Wall,F,1986-04-23,29,50
29,Courtney Goodwin,F,2005-06-08,44,21
30,Roger Wright,F,2002-07-09,45,4
31,Cindy Leon,M,1997-12-25,72,32
32,Brian Burns,F,1992-01-11,95,1
33,Kelly Cohen,M,2008-11-15,124,6
34,Heather Mclaughlin,F,2009-01-14,58,4
35,Amy Richardson,M,2004-05-17,107,19
36,Steven Sherman,M,1990-03-07,21,1
37,Eric Maldonado,M,1995-12-03,127,40
38,Angel Jones,M,2004-09-11,113,11
39,Charles Morales,M,2006-08-15,170,1
40,Steven Rojas,M,1988-08-11,60,34
41,Chad Bailey,M,1986-02-13,188,43
42,Ryan Huang,F,1993-12-26,108,8
43,Bryan Carter,F,2000-04-20,52,1
44,Erica Montes,F,1997-03-25,142,39
45,Robert Martin,M,2005-03-01,44,17
46,Allen Graves,M,2000-08-28,166,3
47,Michael Ball,F,2004-09-02,91,48
48,Tina Ellis,M,2008-04-12,26,1
49,Rita Sloan,M,1993-09-24,89,31
50,Jenny Powell,F,1998-12-12,136,30
51,Terry Swanson,M,1992-08-11,100,43
52,Ryan Hall,M,1991-04-09,168,22
53,Mrs. Kathryn Mccall,M,2004-11-15,185,1
54,Howard Miller,F,1999-09-14,105,20
55,Scott Bryan,M,2008-01-06,21,1
56,Shirley Simpson,M,1998-12-31,24,20
57,Pamela Thompson,F,2008-03-05,179,23
58,Victoria Edwards,F,1991-05-07,180,30
59,James Fleming,F,1988-03-29,67,31
60,Jared Hawkins,M,1985-02-05,123,27
61,Danielle Martinez,M,1990-12-24,174,31
62,Michael Brown,M,2004-09-08,161,11
63,Denise James,M,2007-12-15,5,12
64,Amanda Hernandez,M,1984-01-26,147,49
65,Bethany Yang,M,1993-08-21,136,16
66,Mallory Williams,F,2006-10-20,39,44
67,Rita Benson,F,1990-11-07,10,23
68,Brian Hawkins,F,1985-07-04,177,13
