EventID,EventName,SportID,EventType,VenueID,Date,Attendance
1,Orchestrate Distributed Content,3,Team,53,2014-11-18,7324
2,Unleash 24/365 Action-Items,41,Individual,67,2022-05-16,2416
3,Whiteboard Collaborative Initiatives,30,Team,30,2005-11-25,5526
4,Transform Extensible Architectures,24,Team,52,2003-05-12,7976
5,Transition World-Class Technologies,35,Individual,48,2019-04-15,5276
6,Grow Ubiquitous Paradigms,24,Individual,75,2016-08-05,9669
7,Whiteboard Rich Systems,25,Individual,55,2002-02-27,2112
8,Productize B2B Methodologies,13,Individual,34,2009-11-17,5079
9,Transform Sticky Architectures,17,Team,23,2004-12-13,8495
10,Enable Back-End Niches,47,Individual,81,2018-01-07,9360
11,Engineer Distributed Technologies,45,Team,57,2007-07-07,3207
12,Implement Bleeding-Edge Experiences,49,Team,2,2000-02-26,5085
13,Enhance World-Class Niches,26,Team,54,2001-12-26,1961
14,Enhance Web-Enabled Models,13,Individual,47,2015-06-03,7021
15,Re-Contextualize Frictionless Models,46,Team,35,2013-12-24,681
16,Evolve Bricks-And-Clicks E-Commerce,43,Individual,99,2013-09-11,9148
17,Expedite Sticky Action-Items,6,Individual,15,2021-03-26,8235
18,Matrix Robust Deliverables,28,Individual,2,2017-01-19,7643
19,Iterate One-To-One Bandwidth,1,Individual,53,2008-03-02,596
20,Iterate Enterprise Niches,45,Team,91,2017-11-16,6457
21,Utilize Strategic Web Services,22,Team,6,2013-12-15,1171
22,Orchestrate Granular Solutions,16,Team,44,2008-03-05,4362
23,Expedite Front-End Web-Readiness,7,Team,68,2002-11-13,7312
24,Scale Synergistic Niches,32,Individual,96,2013-04-24,6466
25,Visualize Out-Of-The-Box Infrastructures,32,Individual,90,2022-11-28,5680
26,Whiteboard Interactive Action-Items,12,Team,91,2019-11-21,7128
27,Disintermediate Mission-Critical E-Markets,23,Individual,96,2000-02-08,3159
28,Enable Virtual Solutions,20,Team,34,2001-10-20,6841
29,Deliver Revolutionary Architectures,18,Team,23,2018-05-12,6907
30,Implement Granular Solutions,17,Individual,2,2024-02-09,8482
31,Envisioneer Dynamic Users,42,Team,57,2007-06-01,4103
32,Harness Cross-Media Convergence,23,Team,63,2022-01-28,1541
33,Leverage 24/7 Functionalities,10,Individual,31,2011-07-07,6715
34,Deliver Virtual Markets,37,Team,37,2000-10-31,7002
35,Enhance Dynamic E-Business,26,Team,93,2020-08-05,8639
36,Empower Ubiquitous Schemas,48,Team,4,2000-06-30,243
37,Expedite Holistic Deliverables,35,Individual,11,2002-10-15,5408
38,Syndicate Transparent E-Services,2,Team,28,2007-07-05,915
39,Re-Intermediate Out-Of-The-Box Channels,26,Team,80,2001-09-05,2673
40,Orchestrate Seamless Infrastructures,2,Team,97,2017-11-20,1308
41,Harness Collaborative Channels,50,Team,77,2015-11-22,144
42,Empower Dot-Com Roi,46,Individual,29,2019-03-18,4000
43,Productize Enterprise Portals,37,Individual,15,2004-07-15,2196
44,Leverage Strategic Info-Mediaries,37,Individual,78,2013-10-10,4401
45,Re-Contextualize B2B Applications,46,Individual,61,2018-09-27,6578
46,Redefine Virtual Partnerships,32,Individual,95,2006-02-01,2067
47,Benchmark Distributed Content,15,Individual,70,2016-12-21,4786
48,Optimize End-To-End Convergence,22,Individual,78,2011-03-13,7927
49,Exploit User-Centric Applications,17,Individual,93,2007-05-08,5383
50,Visualize Frictionless Schemas,36,Individual,55,2002-08-16,1733
51,Redefine Mission-Critical Schemas,32,Team,53,2003-01-26,9566
52,Implement Front-End Supply-Chains,17,Individual,7,2023-05-25,1140
53,Revolutionize 24/7 Partnerships,15,Individual,88,2015-01-21,2408
54,Redefine Cross-Platform Infrastructures,20,Team,17,2004-05-19,2627
55,Productize Dynamic Roi,17,Individual,9,2003-11-18,9283
56,Repurpose Customized Users,39,Individual,95,2006-03-24,9494
57,Enhance Value-Added Supply-Chains,35,Team,74,2002-01-03,7621
58,Innovate Wireless Models,6,Team,87,2019-07-28,2984
59,Facilitate Dynamic Technologies,40,Team,7,2016-11-04,2169
